model_run_name,global_epoch,phase_name,phase_epoch,learning_rate,trainable_params,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
modelo_1,1,head,1,0.001,4098,0.6541027709057456,0.6066666666666667,0.5714285714285714,0.13114754098360656,0.21333333333333335,0.5593115389347076,0.7906976744186046,1.0,0.5,0.6666666666666666
modelo_1,2,head,2,0.001,4098,0.5503391968576532,0.76,0.6984126984126984,0.7213114754098361,0.7096774193548387,0.5021185179551443,0.7906976744186046,1.0,0.5,0.6666666666666666
modelo_1,3,head,3,0.001,4098,0.45995124703959417,0.84,0.8490566037735849,0.7377049180327869,0.7894736842105263,0.48374679187933606,0.7674418604651163,1.0,0.4444444444444444,0.6153846153846154
modelo_1,4,head,4,0.001,4098,0.46309103777534083,0.8,0.8163265306122449,0.6557377049180327,0.7272727272727273,0.45718199014663696,0.7906976744186046,0.9090909090909091,0.5555555555555556,0.6896551724137931
modelo_1,5,head,5,0.001,4098,0.4007052669399663,0.84,0.7605633802816901,0.8852459016393442,0.8181818181818182,0.42021114627520245,0.813953488372093,1.0,0.5555555555555556,0.7142857142857143
modelo_1,6,finetune,1,0.0001,14968834,0.4144983715132663,0.8066666666666666,0.7424242424242424,0.8032786885245902,0.7716535433070866,0.3379703089594841,0.9069767441860465,1.0,0.7777777777777778,0.875
modelo_1,7,finetune,2,0.0001,14968834,0.2929205690559588,0.9,0.859375,0.9016393442622951,0.88,0.31764937192201614,0.8604651162790697,1.0,0.6666666666666666,0.8
modelo_1,8,finetune,3,0.0001,14968834,0.20008132842026258,0.94,0.90625,0.9508196721311475,0.928,0.27860140800476074,0.8837209302325582,1.0,0.7222222222222222,0.8387096774193549
modelo_1,9,finetune,4,0.0001,14968834,0.14794381158916572,0.98,0.967741935483871,0.9836065573770492,0.975609756097561,0.2931402027606964,0.8604651162790697,1.0,0.6666666666666666,0.8
modelo_1,10,finetune,5,0.0001,14968834,0.13765553679121167,0.9666666666666667,0.9516129032258065,0.9672131147540983,0.959349593495935,0.24110856279730797,0.9302325581395349,1.0,0.8333333333333334,0.9090909090909091
modelo_1,11,finetune,6,0.0001,14968834,0.1240610700884932,0.96,0.9230769230769231,0.9836065573770492,0.9523809523809523,0.43264150774727267,0.7441860465116279,1.0,0.3888888888888889,0.56
modelo_1,12,finetune,7,0.0001,14968834,0.11283865041638676,0.9666666666666667,0.9516129032258065,0.9672131147540983,0.959349593495935,0.26595707051455975,0.8837209302325582,1.0,0.7222222222222222,0.8387096774193549
modelo_1,13,finetune,8,0.0001,14968834,0.08883133197301313,0.9866666666666667,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.3591081735988458,0.8372093023255814,1.0,0.6111111111111112,0.7586206896551724
modelo_1,14,finetune,9,0.0001,14968834,0.06822975337701409,0.9866666666666667,0.9682539682539683,1.0,0.9838709677419355,0.2847755302985509,0.8604651162790697,1.0,0.6666666666666666,0.8
