model_run_name,accuracy,precision,recall,f1,best_val_loss,best_val_f1
modelo_1,0.86,0.8461538461538461,0.6875,0.7586206896551724,0.24110856279730797,0.9090909090909091
modelo_2,0.86,1.0,0.5625,0.72,0.3138387141128381,0.8484848484848485
