global_epoch,phase_name,phase_epoch,learning_rate,trainable_params,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,head,1,0.001,4098,0.6612873485213832,0.58,0.4166666666666667,0.08196721311475409,0.136986301369863,0.5778331160545349,0.813953488372093,1.0,0.5555555555555556,0.7142857142857143
2,head,2,0.001,4098,0.5390506151475405,0.7666666666666667,0.696969696969697,0.7540983606557377,0.7244094488188977,0.506550078590711,0.7674418604651163,1.0,0.4444444444444444,0.6153846153846154
3,head,3,0.001,4098,0.45828803118906525,0.8466666666666667,0.8518518518518519,0.7540983606557377,0.8,0.5059010237455368,0.6976744186046512,1.0,0.2777777777777778,0.43478260869565216
4,head,4,0.001,4098,0.4481106400489807,0.8,0.8297872340425532,0.639344262295082,0.7222222222222222,0.4880866010983785,0.7209302325581395,1.0,0.3333333333333333,0.5
5,head,5,0.001,4098,0.3829205075376912,0.8733333333333333,0.8181818181818182,0.8852459016393442,0.8503937007874016,0.5038327053189278,0.6744186046511628,1.0,0.2222222222222222,0.36363636363636365
6,finetune,1,0.0001,14968834,0.3769718188988535,0.84,0.7681159420289855,0.8688524590163934,0.8153846153846154,0.39896657690405846,0.7906976744186046,0.9090909090909091,0.5555555555555556,0.6896551724137931
7,finetune,2,0.0001,14968834,0.23525739304329218,0.9533333333333334,0.9354838709677419,0.9508196721311475,0.943089430894309,0.4267236938079198,0.7674418604651163,1.0,0.4444444444444444,0.6153846153846154
8,finetune,3,0.0001,14968834,0.17701035973272825,0.9266666666666666,0.9032258064516129,0.9180327868852459,0.9105691056910569,0.4033799817164739,0.7674418604651163,1.0,0.4444444444444444,0.6153846153846154
9,finetune,4,0.0001,14968834,0.09790252266745818,0.9933333333333333,1.0,0.9836065573770492,0.9917355371900827,0.38719047978520393,0.813953488372093,0.9166666666666666,0.6111111111111112,0.7333333333333333
10,finetune,5,0.0001,14968834,0.09029401064311203,0.9933333333333333,1.0,0.9836065573770492,0.9917355371900827,0.348712295293808,0.8372093023255814,0.8666666666666667,0.7222222222222222,0.7878787878787878
11,finetune,6,0.0001,14968834,0.07376791203492566,0.98,0.953125,1.0,0.976,0.6436245193084081,0.6511627906976745,0.7142857142857143,0.2777777777777778,0.4
12,finetune,7,0.0001,14968834,0.06823620523669217,0.9866666666666667,0.9682539682539683,1.0,0.9838709677419355,0.4194862103710572,0.7441860465116279,1.0,0.3888888888888889,0.56
13,finetune,8,0.0001,14968834,0.05119437133697303,0.9933333333333333,0.9838709677419355,1.0,0.991869918699187,0.3701501339673996,0.7906976744186046,1.0,0.5,0.6666666666666666
14,finetune,9,0.0001,14968834,0.02996980896415679,1.0,1.0,1.0,1.0,0.4072762777407964,0.7906976744186046,0.8461538461538461,0.6111111111111112,0.7096774193548387
